----------Creating Processes----------
Process: P0 	Size: 11 	Arrival Time: 42 	Run Time: 1 
Process: P1 	Size: 31 	Arrival Time: 45 	Run Time: 3 
Process: P2 	Size: 17 	Arrival Time: 27 	Run Time: 1 
Process: P3 	Size: 5 	Arrival Time: 24 	Run Time: 1 
Process: P4 	Size: 5 	Arrival Time: 48 	Run Time: 3 
Process: P5 	Size: 31 	Arrival Time: 4 	Run Time: 5 
Process: P6 	Size: 11 	Arrival Time: 46 	Run Time: 4 
Process: P7 	Size: 17 	Arrival Time: 37 	Run Time: 2 
Process: P8 	Size: 17 	Arrival Time: 4 	Run Time: 4 
Process: P9 	Size: 5 	Arrival Time: 48 	Run Time: 4 
Process: P10 	Size: 17 	Arrival Time: 25 	Run Time: 2 
Process: P11 	Size: 17 	Arrival Time: 49 	Run Time: 4 
Process: P12 	Size: 31 	Arrival Time: 39 	Run Time: 4 
Process: P13 	Size: 31 	Arrival Time: 32 	Run Time: 3 
Process: P14 	Size: 17 	Arrival Time: 0 	Run Time: 3 
Process: P15 	Size: 5 	Arrival Time: 27 	Run Time: 3 
Process: P16 	Size: 17 	Arrival Time: 48 	Run Time: 1 
Process: P17 	Size: 31 	Arrival Time: 43 	Run Time: 5 
Process: P18 	Size: 17 	Arrival Time: 37 	Run Time: 4 
Process: P19 	Size: 5 	Arrival Time: 53 	Run Time: 2 
Process: P20 	Size: 31 	Arrival Time: 0 	Run Time: 5 
Process: P21 	Size: 5 	Arrival Time: 54 	Run Time: 1 
Process: P22 	Size: 17 	Arrival Time: 37 	Run Time: 5 
Process: P23 	Size: 5 	Arrival Time: 56 	Run Time: 4 
Process: P24 	Size: 31 	Arrival Time: 51 	Run Time: 1 
Process: P25 	Size: 11 	Arrival Time: 59 	Run Time: 1 
Process: P26 	Size: 5 	Arrival Time: 10 	Run Time: 4 
Process: P27 	Size: 11 	Arrival Time: 45 	Run Time: 4 
Process: P28 	Size: 5 	Arrival Time: 27 	Run Time: 3 
Process: P29 	Size: 17 	Arrival Time: 20 	Run Time: 2 
Process: P30 	Size: 11 	Arrival Time: 23 	Run Time: 4 
Process: P31 	Size: 11 	Arrival Time: 27 	Run Time: 5 
Process: P32 	Size: 17 	Arrival Time: 1 	Run Time: 4 
Process: P33 	Size: 17 	Arrival Time: 34 	Run Time: 1 
Process: P34 	Size: 31 	Arrival Time: 21 	Run Time: 2 
Process: P35 	Size: 31 	Arrival Time: 2 	Run Time: 3 
Process: P36 	Size: 31 	Arrival Time: 51 	Run Time: 3 
Process: P37 	Size: 5 	Arrival Time: 16 	Run Time: 1 
Process: P38 	Size: 31 	Arrival Time: 56 	Run Time: 5 
Process: P39 	Size: 5 	Arrival Time: 47 	Run Time: 2 
Process: P40 	Size: 17 	Arrival Time: 36 	Run Time: 5 
Process: P41 	Size: 5 	Arrival Time: 41 	Run Time: 2 
Process: P42 	Size: 5 	Arrival Time: 51 	Run Time: 1 
Process: P43 	Size: 11 	Arrival Time: 45 	Run Time: 5 
Process: P44 	Size: 31 	Arrival Time: 40 	Run Time: 3 
Process: P45 	Size: 5 	Arrival Time: 44 	Run Time: 5 
Process: P46 	Size: 11 	Arrival Time: 59 	Run Time: 1 
Process: P47 	Size: 31 	Arrival Time: 15 	Run Time: 5 
Process: P48 	Size: 31 	Arrival Time: 15 	Run Time: 1 
Process: P49 	Size: 31 	Arrival Time: 19 	Run Time: 5 
Process: P50 	Size: 17 	Arrival Time: 21 	Run Time: 1 
Process: P51 	Size: 11 	Arrival Time: 13 	Run Time: 2 
Process: P52 	Size: 17 	Arrival Time: 49 	Run Time: 3 
Process: P53 	Size: 11 	Arrival Time: 38 	Run Time: 1 
Process: P54 	Size: 17 	Arrival Time: 30 	Run Time: 1 
Process: P55 	Size: 5 	Arrival Time: 14 	Run Time: 2 
Process: P56 	Size: 11 	Arrival Time: 51 	Run Time: 2 
Process: P57 	Size: 5 	Arrival Time: 23 	Run Time: 4 
Process: P58 	Size: 5 	Arrival Time: 34 	Run Time: 4 
Process: P59 	Size: 11 	Arrival Time: 29 	Run Time: 5 
Process: P60 	Size: 5 	Arrival Time: 44 	Run Time: 3 
Process: P61 	Size: 5 	Arrival Time: 17 	Run Time: 1 
Process: P62 	Size: 5 	Arrival Time: 51 	Run Time: 5 
Process: P63 	Size: 5 	Arrival Time: 13 	Run Time: 1 
Process: P64 	Size: 11 	Arrival Time: 3 	Run Time: 1 
Process: P65 	Size: 17 	Arrival Time: 28 	Run Time: 2 
Process: P66 	Size: 5 	Arrival Time: 37 	Run Time: 4 
Process: P67 	Size: 11 	Arrival Time: 21 	Run Time: 2 
Process: P68 	Size: 11 	Arrival Time: 42 	Run Time: 3 
Process: P69 	Size: 11 	Arrival Time: 43 	Run Time: 3 
Process: P70 	Size: 31 	Arrival Time: 3 	Run Time: 4 
Process: P71 	Size: 31 	Arrival Time: 11 	Run Time: 1 
Process: P72 	Size: 31 	Arrival Time: 56 	Run Time: 4 
Process: P73 	Size: 11 	Arrival Time: 0 	Run Time: 4 
Process: P74 	Size: 11 	Arrival Time: 9 	Run Time: 5 
Process: P75 	Size: 31 	Arrival Time: 55 	Run Time: 3 
Process: P76 	Size: 31 	Arrival Time: 3 	Run Time: 5 
Process: P77 	Size: 31 	Arrival Time: 24 	Run Time: 3 
Process: P78 	Size: 17 	Arrival Time: 14 	Run Time: 5 
Process: P79 	Size: 5 	Arrival Time: 39 	Run Time: 3 
Process: P80 	Size: 31 	Arrival Time: 58 	Run Time: 4 
Process: P81 	Size: 17 	Arrival Time: 25 	Run Time: 5 
Process: P82 	Size: 17 	Arrival Time: 13 	Run Time: 1 
Process: P83 	Size: 11 	Arrival Time: 2 	Run Time: 3 
Process: P84 	Size: 17 	Arrival Time: 31 	Run Time: 4 
Process: P85 	Size: 17 	Arrival Time: 2 	Run Time: 5 
Process: P86 	Size: 17 	Arrival Time: 41 	Run Time: 5 
Process: P87 	Size: 31 	Arrival Time: 37 	Run Time: 2 
Process: P88 	Size: 11 	Arrival Time: 47 	Run Time: 1 
Process: P89 	Size: 17 	Arrival Time: 3 	Run Time: 5 
Process: P90 	Size: 11 	Arrival Time: 38 	Run Time: 5 
Process: P91 	Size: 5 	Arrival Time: 16 	Run Time: 1 
Process: P92 	Size: 31 	Arrival Time: 6 	Run Time: 1 
Process: P93 	Size: 11 	Arrival Time: 52 	Run Time: 5 
Process: P94 	Size: 5 	Arrival Time: 46 	Run Time: 3 
Process: P95 	Size: 31 	Arrival Time: 44 	Run Time: 2 
Process: P96 	Size: 17 	Arrival Time: 14 	Run Time: 3 
Process: P97 	Size: 11 	Arrival Time: 45 	Run Time: 2 
Process: P98 	Size: 5 	Arrival Time: 38 	Run Time: 5 
Process: P99 	Size: 11 	Arrival Time: 36 	Run Time: 5 
Process: P100 	Size: 11 	Arrival Time: 14 	Run Time: 4 
Process: P101 	Size: 31 	Arrival Time: 34 	Run Time: 2 
Process: P102 	Size: 31 	Arrival Time: 41 	Run Time: 1 
Process: P103 	Size: 5 	Arrival Time: 39 	Run Time: 3 
Process: P104 	Size: 31 	Arrival Time: 19 	Run Time: 1 
Process: P105 	Size: 11 	Arrival Time: 42 	Run Time: 5 
Process: P106 	Size: 11 	Arrival Time: 37 	Run Time: 1 
Process: P107 	Size: 31 	Arrival Time: 58 	Run Time: 1 
Process: P108 	Size: 11 	Arrival Time: 10 	Run Time: 1 
Process: P109 	Size: 31 	Arrival Time: 19 	Run Time: 3 
Process: P110 	Size: 11 	Arrival Time: 4 	Run Time: 4 
Process: P111 	Size: 11 	Arrival Time: 23 	Run Time: 5 
Process: P112 	Size: 11 	Arrival Time: 35 	Run Time: 2 
Process: P113 	Size: 5 	Arrival Time: 51 	Run Time: 3 
Process: P114 	Size: 31 	Arrival Time: 59 	Run Time: 2 
Process: P115 	Size: 5 	Arrival Time: 36 	Run Time: 1 
Process: P116 	Size: 11 	Arrival Time: 22 	Run Time: 5 
Process: P117 	Size: 5 	Arrival Time: 5 	Run Time: 3 
Process: P118 	Size: 5 	Arrival Time: 6 	Run Time: 5 
Process: P119 	Size: 31 	Arrival Time: 30 	Run Time: 4 
Process: P120 	Size: 17 	Arrival Time: 55 	Run Time: 5 
Process: P121 	Size: 31 	Arrival Time: 0 	Run Time: 1 
Process: P122 	Size: 17 	Arrival Time: 1 	Run Time: 1 
Process: P123 	Size: 31 	Arrival Time: 58 	Run Time: 4 
Process: P124 	Size: 31 	Arrival Time: 33 	Run Time: 3 
Process: P125 	Size: 17 	Arrival Time: 34 	Run Time: 2 
Process: P126 	Size: 5 	Arrival Time: 27 	Run Time: 4 
Process: P127 	Size: 17 	Arrival Time: 44 	Run Time: 1 
Process: P128 	Size: 31 	Arrival Time: 44 	Run Time: 2 
Process: P129 	Size: 11 	Arrival Time: 15 	Run Time: 4 
Process: P130 	Size: 31 	Arrival Time: 45 	Run Time: 1 
Process: P131 	Size: 5 	Arrival Time: 20 	Run Time: 1 
Process: P132 	Size: 11 	Arrival Time: 35 	Run Time: 3 
Process: P133 	Size: 11 	Arrival Time: 2 	Run Time: 1 
Process: P134 	Size: 11 	Arrival Time: 22 	Run Time: 1 
Process: P135 	Size: 31 	Arrival Time: 36 	Run Time: 2 
Process: P136 	Size: 17 	Arrival Time: 44 	Run Time: 5 
Process: P137 	Size: 31 	Arrival Time: 59 	Run Time: 1 
Process: P138 	Size: 11 	Arrival Time: 18 	Run Time: 5 
Process: P139 	Size: 17 	Arrival Time: 51 	Run Time: 3 
Process: P140 	Size: 5 	Arrival Time: 50 	Run Time: 5 
Process: P141 	Size: 17 	Arrival Time: 11 	Run Time: 1 
Process: P142 	Size: 31 	Arrival Time: 24 	Run Time: 3 
Process: P143 	Size: 17 	Arrival Time: 42 	Run Time: 2 
Process: P144 	Size: 31 	Arrival Time: 11 	Run Time: 4 
Process: P145 	Size: 17 	Arrival Time: 34 	Run Time: 3 
Process: P146 	Size: 17 	Arrival Time: 29 	Run Time: 2 
